ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,district,area_total,area_living,area_kitchen,balcony,condition,floor,floors_total,building_type,building_year,area_code,location_lon,location_lat,address,contact_name,rooms
1079197424,2026-08-04T08:41:22Z,Двухкомнатная квартира после ремонта,"Сдается светлая, уютная квартира после полного обновления. 

Здесь все новое: от стяжки пола до розеток. Никаких ""бабушкиных"" диванов и старой сантехн",550.19,1600.0,True,https://re.kufar.by/vi/1079197424,290,44.8,30.9,6.0,1,1,4.0,5.0,1,1967.0,30,27.507726,53.904331,"Одоевского ул, 23, Минск",Бюро Городской Недвижимости,
1079656873,2026-08-04T08:40:15Z,Сдаётся квартира,"С 15.09.2026 сдаётся уютная студия в современном жилом комплексе Минск-Мир на длителный срок, от года. Квартира идеально подойдёт для одного человека",450.0,1308.65,False,https://re.kufar.by/vi/1079656873,170,32.0,30.0,,1,10,18.0,25.0,10,,28,27.531441,53.866099,"Леонида Левина ул, 11, Минск",Андрей,2.0
1079656260,2026-08-04T08:39:02Z,Сдам квартиру,"Сдам однокомнатную квартиру в хорошем состоянии на длительный срок. Рядом магазины,тихий двор. Хорошее транспортное сообщение,метро в 10 минутах. Зало",400.0,1163.24,False,https://re.kufar.by/vi/1079656260,150,33.0,17.0,7.0,3,1,6.0,,1,1996.0,29,27.439463,53.850943,"Громова ул, 46, Минск",Наталья,2.0
1079656240,2026-08-04T08:38:58Z,"1 комн., 30 м².,2 минуты до ст.м. ПУШКИНСКАЯ","2 минуты до ст.м Пушкинская

В шаговой доступности все,  что нужно: круглосуточный магазин, кинотеатр, спортзал,  кофейни и ТД. 

Ищем порядочного ква",460.0,1337.73,False,https://re.kufar.by/vi/1079656240,205,35.5,18.0,8.0,1,1,8.0,9.0,,1973.0,30,27.49043815226918,53.90973464994529,"Притыцкого ул, 38, Минск",Маргарита,2.0
1079654124,2026-08-04T08:34:00Z,Сдам в аренду квартиру (1этаж дома),"Сдам в аренду 1 этаж дома, отличный ремонт со всеми удобствами. Большая кухня и гостиная. Наличие стиральной машины. Парковка для авто возле дома. Дол",515.8,1500.0,False,https://re.kufar.by/vi/1079654124,215,100.0,,,2,5,1.0,2.0,3,,26,27.664503747293935,53.87319106805268,"Днепровская ул, 59, Минск",Геннадий,3.0
1074737764,2026-08-04T08:30:46Z,СУПЕР СТИЛЬНАЯ СТУДИЯ в Минск Мире,"Сдается новая студия в микрорайоне Минск Мир. С продуманной планировкой и стильным ремонтом.
В квартире есть отдельное спальное место (кровать) и дива",550.0,1599.46,False,https://re.kufar.by/vi/1074737764,170,30.0,24.2,,1,10,4.0,25.0,10,2025.0,28,27.555085,53.859185,"Леонида Щемелёва ул, 28, Минск",Валерия,2.0
1065365730,2026-08-04T08:29:50Z,Сдаем трехкомнатную квартиру с ремонтом,"Сдаётся 3-х комнатная квартира-студия с прекрасным видом на Свислочь. Современная планировка, квартира оборудована всем необходимым для комфортного пр",750.0,2181.08,False,https://re.kufar.by/vi/1065365730,220,95.0,60.0,14.0,3,10,9.0,15.0,10,2009.0,27,27.568865,53.882587,"Маяковского ул, 15, Минск",Leonid,3.0
1079207088,2026-08-04T08:24:33Z,Уютная с дизайнерским ремонтом евродвушка в престижном  доме Волна,"Собственником сдаётся премиальная евро двушка, метраж около 44 м2 с балконом в престижном доме Волна Маяк Минска, с дизайнерским ремонтом. Квартира ос",0.0,0.0,False,https://re.kufar.by/vi/1079207088,170,44.0,40.0,,1,10,6.0,21.0,2,2022.0,28,27.549991,53.869784,"Мира пр, 1, Минск",Алина,
1079643192,2026-08-04T08:09:22Z,1-комн.квартира сдается бульвар Шевченко 6,"Сдается 1комн.квартира в Центральном районе бульвар Шевченко 6,на длительный срок. Квартира с мебелью .Холодильник,стиральная машина . Официально по д",378.25,1100.0,True,https://re.kufar.by/vi/1079643192,,31.0,,,,1,,,,,22,27.557034,53.924309,"Шевченко бул, 6, Минск",ООО Альфа-риэлт,
1078952561,2026-08-04T07:59:31Z,аренда просторной двухкомнатной квартиры,"Сдаётся совершенно новая уютная светлая, просторная двухкомнатная (евротрёшка) квартира с огромной кухней-гостиной и двумя изолированными комнатами (в",750.0,2181.08,False,https://re.kufar.by/vi/1078952561,,84.0,,25.0,4,5,14.0,16.0,2,2025.0,24,27.695132,53.930284,"Академика Купревича ул, 16, Минск",Алла,
1079637503,2026-08-04T07:56:42Z,Квартира в аренду.,"Квартира в аренду по ул. Янковского 5. Напротив  магазин, спортзал. Хорошее транспортное сообщение. Сдается квартира только гражданам РБ по договору а",400.0,1163.24,False,https://re.kufar.by/vi/1079637503,265,42.0,,,1,1,3.0,9.0,,,30,27.44140086662441,53.880968861703714,"Янковского ул, 5, Минск",Павел,2.0
1079636880,2026-08-04T07:55:23Z,Сдаётся квартира,Сдается 1 комнатная квартира в Серебрянке. Без детей и животных. По договору. Не агентство. Залог за 1 месяц.писать и звонить по тел +,380.0,1105.08,True,https://re.kufar.by/vi/1079636880,230,40.0,,,1,1,2.0,,,,27,27.606594,53.856785,"Рокоссовского пр, 112, Минск",ИП Мороз Владислав Викторович,2.0
1079631987,2026-08-04T07:48:36Z,Сдаётся однокомнатная квартира,Сдаётся однокомнатная квартира.Частично с мебелью.Курасовщина(ул.Корженевского). Остановка пл.Казинца.До ст.метро Слуцкий Гостинец 7 минут.Кроме метро,350.0,1017.84,False,https://re.kufar.by/vi/1079631987,135,33.0,,,1,,7.0,9.0,,,28,27.514723,53.84391,"Корженевского ул, Минск",Наталья,
