ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,rooms,district,area_total,area_living,area_kitchen,balcony,condition,floor,floors_total,building_type,building_year,area_code,location_lon,location_lat,address,contact_name
1074219706,2026-08-12T07:35:05Z,Сдам квартиру,"Сдам 2-комнатную квартиру в центре города на длительный срок. Квартирира теплая, уютная.  В шаговой доступности магазины, автобусная остановка, рынок",576.66,1700.0,False,https://re.kufar.by/vi/1074219706,4.0,120,60.0,30.0,7.0,3,5,4.0,9.0,1,1996.0,23,27.579106,53.923424,"Куйбышева ул, 75, Минск",FRANCE
1080694952,2026-08-12T07:26:20Z,"Сдаётся 1- комнатная квартира: ул.Одесская,20Б","Сдаётся однокомнатная квартира по адресу: г.Минск, ул. Одесская,20Б. Квартира расположена на 2 этаже 19- этажного дома в пешей доступности станции мет",650.0,1916.2,False,https://re.kufar.by/vi/1080694952,2.0,,47.1,17.1,9.6,1,5,2.0,19.0,4,2011.0,26,27.658319,53.873011,"Одесская ул, 20Б, Минск",Евгения
1078304524,2026-08-12T07:21:29Z,Дизайнерская квартира у ст.м. Аэродромная,Собственник. Сдаю на длительный срок с заключением официального договора найма. Квартира полностью готова к проживанию «въезжай и живи». Высокий класс,900.0,2653.2,False,https://re.kufar.by/vi/1078304524,4.0,170,47.6,45.3,,3,10,23.0,25.0,10,2023.0,28,27.552534,53.861995,"Жореса Алфёрова ул, 7, Минск",Валентина
1079512521,2026-08-12T07:18:43Z,Сдача квартиры,"1 комнатная,новая. Есть всё необходимое. Метро 1 минута. Без животных. Агенствам не беспокоить.",650.0,1916.2,False,https://re.kufar.by/vi/1079512521,2.0,,43.0,17.0,10.0,3,10,5.0,23.0,2,2025.0,29,27.514382,53.887958,"Щорса ул, 42, Минск","Наталья,Александр"
1080693193,2026-08-12T07:17:40Z,1комнатная квартира от собственника,"Внимание !!! Квартира малосеймейка , комната маленькая идеально для одного человека .
Сдается  на длительный срок. Предоплата  и залог 1 месяц
Только",390.09,1150.0,False,https://re.kufar.by/vi/1080693193,2.0,280,21.0,11.0,6.0,2,1,1.0,5.0,1,1993.0,24,27.693937,53.951262,"Уручская ул, 13, Минск",Наташа
1080692743,2026-08-12T07:12:47Z,Сдается квартира,"Сдаётся с 1 сентября небольшая уютная квартира  в ЖК Минск мир с потрясающим видом из окна. От собственника на длительный срок (от года), гражданам РБ",542.74,1600.0,False,https://re.kufar.by/vi/1080692743,2.0,170,31.0,27.0,,1,10,15.0,25.0,10,2022.0,28,27.534394877819974,53.863375649217716,"Лейтенанта Кижеватова ул, 3Д, Минск",Светлана
1079939384,2026-08-12T07:07:28Z,Аренда квартиры,"Сдается уютная квартира, идеальный вариант. Рядом метро Тракторный завод, магазины, парк, поликлиника, тренажерный зал и бассейн. 5 минут до школы, ря",700.0,2063.6,False,https://re.kufar.by/vi/1079939384,4.0,,52.0,30.0,6.6,2,5,2.0,4.0,3,1959.0,25,27.611553,53.886599,"Стахановская ул, 27, Минск",Михаил
1080259480,2026-08-12T07:04:01Z,"ул.ЧЕРВЯКОВА,аренда 1комн.кварт.Центр.рн.","Сдается 1 комнатная квартира СТУДЕНТАМ,СЕМЕЙНОЙ ПАРЕ, ДЕВУШКЕ, ПАРНЮ квартира  с хорошим ремонтом , на полах ламит, шкаф купе, диван, стеклопакеты, в",407.06,1200.0,True,https://re.kufar.by/vi/1080259480,,,30.0,,,,,,,,,22,27.549821,53.926043,"Червякова ул, Минск",ИП Мажугова Людмила Николаевна
1080328494,2026-08-12T07:02:09Z,Аренда квартиры,"От Собственника. Сдается одному, парам современная квартира в центре Минска, метро 5 минут, уютная, магазины рядом. Состояние квартиры- новое. Все оче",720.0,2122.56,False,https://re.kufar.by/vi/1080328494,1.0,,48.4,17.2,11.3,3,5,21.0,21.0,2,2017.0,29,27.519619,53.889205,"Дзержинского пр, 22, Минск",Ирина
1073190190,2026-08-12T07:01:48Z,2-х комнтаная квартира в долгосрочную аренду,"Сдается уютная 2к квартира с видом на лес, можно с детьми и животными.
Рядом удобная парковка (всегда есть места), парк, озеро, площадка для собак, ма",678.43,2000.0,False,https://re.kufar.by/vi/1073190190,4.0,,68.0,60.0,13.0,4,5,12.0,19.0,,2013.0,24,27.698393,53.927628,"Франциска Скорины ул, 41, Минск",Антон
